"response_id";"response_valid";"form";"access";"respondent_id";"respondent_apikey";"respondent_index";"question_id";"question_type";"question_required";"question_title";"question_note";"nominal";"nominal_title";"entity_1";"entity_1_title";"entity_2";"entity_2_title";"factor";"factor_title";"effect";"effect_title";"min";"max";"value";"value_title"
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"llbfkvgph1b";"One of many selection";true;"Насколько качественно преподавание Ваших главных (профилирующих) предметов?";"";"lxw8qb132pi";"Скорее качественно";;;;;;;;;;;true;
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"5pd8wiiz6t3";"Rate";true;"Насколько качественно преподавание Ваших факультативных предметов?";"";;;;;;;;;;;;;4;"Качественно"
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"4y54oc5c6yd";"One of many selection";true;"Вы считаете, учебные помещения ВУЗа оборудованы надлежащим образом?";"";"5qruvhnuz1u";"Скорее да";;;;;;;;;;;true;
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"ooecyr3bzcr";"One of many selection";true;"Как Вы бы оценили возможность записи предметов в ВУЗе?";"";"bpljt0me4ui";"В среднем просто записаться.";;;;;;;;;;;true;
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"f2ezou04s6j";"One of many selection";true;"Вы чувствуете себя в ВУЗе безопасно?";"";"1en0o3xziwk";"Скорее безопасно";;;;;;;;;;;true;
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"7sk54offwfs";"One of many selection";true;"Насколько трудно получить нужные учебные материалы?";"";"vm7pag5kixc";"Трудно";;;;;;;;;;;true;
"5c3a4d5b327cb41c1df5d916";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:03.114Z";"ze2bji6xh4h";;;"4p6b7wqrv8r";"One of many selection";true;"Насколько Вы в общем довольны обучением в этом ВУЗе?";"";"jb0cak79qmp";"Скорее доволен/льна";;;;;;;;;;;true;
"5c3a4d85327cb41c1df5d917";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:45.035Z";"mmkpi1wa1en";;;"llbfkvgph1b";"One of many selection";true;"Насколько качественно преподавание Ваших главных (профилирующих) предметов?";"";"qz6ggodfni";"Скорее некачественно";;;;;;;;;;;true;
"5c3a4d85327cb41c1df5d917";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:45.035Z";"mmkpi1wa1en";;;"5pd8wiiz6t3";"Rate";true;"Насколько качественно преподавание Ваших факультативных предметов?";"";;;;;;;;;;;;;2;"Скорее некачественно"
"5c3a4d85327cb41c1df5d917";true;"5c3a4840327cb41c1df5d915";"2019-01-12T20:26:45.035Z";"mmkpi1wa1en";;;"4y54oc5c6yd";"One of many selection";true;"Вы считаете, учебные помещения ВУЗа оборудованы надлежащим образом?";"";"hg6iq0u85nf";"Недостаточно";;;;;;;;;;;true;
